news_id,category,subcategory,content
N55528,lifestyle,lifestyleroyals,"The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By. Shop the notebooks, jackets, and more that the royals can't live without."
N19639,health,weightloss,50 Worst Habits For Belly Fat. These seemingly harmless habits are holding you back and keeping you from shedding that unwanted belly fat for good.
N61837,news,newsworld,"The Cost of Trump's Aid Freeze in the Trenches of Ukraine's War. Lt. Ivan Molchanets peeked over a parapet of sand bags at the front line of the war in Ukraine. Next to him was an empty helmet propped up to trick snipers, already perforated with multiple holes."
N53526,health,voices,"I Was An NBA Wife. Here's How It Affected My Mental Health.. I felt like I was a fraud, and being an NBA wife didn't help that. In fact, it nearly destroyed me."
N38324,health,medical,"How to Get Rid of Skin Tags, According to a Dermatologist. They seem harmless, but there's a very good reason you shouldn't ignore them. The post How to Get Rid of Skin Tags, According to a Dermatologist appeared first on Reader's Digest."
N2073,sports,football_nfl,Should NFL be able to fine players for criticizing officiating?. Several fines came down against NFL players for criticizing officiating this week. It's a very bad look for the league.
N49186,weather,weathertopstories,"It's been Orlando's hottest October ever so far, but cooler temperatures on the way. There won't be a chill down to your bones this Halloween in Orlando, unless you count the sweat dripping from your armpits."
N59295,news,newsworld,"Chile: Three die in supermarket fire amid protests. Three people have died in a supermarket fire as angry protests in Chile entered their seventh day, the mayor of capital city Santiago said on Sunday."
N24510,entertainment,gaming,Best PS5 games: top PlayStation 5 titles to look forward to. Every confirmed or expected PS5 game we can't wait to play
N39237,news,newsscienceandtechnology,"How to report weather-related closings, delays. When there are active closings, view them here. WXII 12 News receives a number of phone calls and e-mails from viewers with questions. Sign up for our Newsletters To report a closure, please visit wxii.reportclosing.com The weather closing system is a viewer-operated system. Employees of WXII-TV and WXII12.com DO NOT enter the information in the system. That comes straight from the school/business/institution. Before you can enter information,..."
N9721,health,nutrition,"50 Foods You Should Never Eat, According to Health Experts. This is so depressing."
N60905,autos,autosenthusiasts,Trying to Make a Ram 3500 as Quick as a Viper Requires Some Disassembly. The 2019 Ram 3500's new Cummins diesel has 1000 lb-ft of torque. We put it to work on the drag strip.
N39758,health,nutrition,"25 Biggest Grocery Store Mistakes Making You Gain Weight. From picking up free goodies to navigating the wrong aisles, these grocery shopping mistakes could be one of the sneaky reasons you're gaining weight."
N28361,health,wellness,"Instagram Filters with Plastic Surgery-Inspired Effects Could Soon Disappear. In an effort to combat some of the negative mental impacts caused by social media, the company announced it is removing all of its filters that give a plastic surgery-like effect."
